Player,Match,Team ID,Role,Credit,Players Link,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next SR,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
MP Stoinis,t20blast2018_127,LSG,AR,8,https://www.lucknowsupergiants.in/static-assets/images/players/4311.png?v=9.4,0,3,1,0,0,0,0,0,100,3,18,0,6,0,0,0,1,0,44.4,35,21,166.6666667,1,22,2,31,39,18,23,1,1,20,24,2,2
RG Sharma,ipl2023_63,MI,Batsman,10,https://www.mumbaiindians.com/static-assets/images/players/large/3852.png?v=4.11&w=200,37,25,1,148,0,0,1,3,28,0,0,0,0,0,0,0,0,0,0,18,15,120,0,0,0,14,22,12,17,0,0,0,0,0,0
SA Yadav,smat2021_095,MI,Batsman,9.5,https://www.mumbaiindians.com/static-assets/images/players/large/11803.png?v=4.11&w=200,22,15,1,146.7,0,0,3,0,26.7,0,0,0,0,0,0,0,0,0,0,21,14,150,0,0,0,16,26,11,17,0,0,0,0,0,0
TH David,t20blast2022_133,MI,Batsman,8.5,https://www.mumbaiindians.com/static-assets/images/players/large/67402.png?v=4.11&w=200,8,11,1,72.7,0,0,0,0,45.5,0,0,0,0,0,0,0,0,0,0,18,11,163.6363636,0,2,0,15,21,10,13,0,0,0,3,0,0
Ishan Kishan,smat2021_081,MI,WK,9,https://www.mumbaiindians.com/static-assets/images/players/large/64712.png?v=4.11&w=200,27,19,1,142.1,0,0,3,1,36.8,0,0,0,0,0,0,0,0,0,0,30,21,142.8571429,0,0,0,25,35,19,24,0,0,0,0,0,0
JJ Bumrah,ipl2022_69,MI,Bowler,10,https://www.mumbaiindians.com/static-assets/images/players/large/63755.png?v=4.11&w=2000,0,0,0,0,0,0,0,0,0,4,25,3,6.25,8.3,8,0,0,2,45.8,1,1,100,1,26,4,0,1,0,1,1,1,24,28,3,4
D Madushanka,lpl2022_13,MI,Bowler,8,https://www.mumbaiindians.com/static-assets/images/players/large/70764.png?v=4.11&w=200,7,4,1,175,0,0,0,1,50,3,41,2,13.67,20.5,9,0,5,2,27.8,1,0,0,0,0,1,1,6,1,3,-1,1,-2,2,1,1
HH Pandya,ipl2023_62,MI,AR,10.5,https://www.mumbaiindians.com/static-assets/images/players/large/63751.png?v=4.11&w=200,8,6,1,133.3,0,0,1,0,33.3,0,0,0,0,0,0,0,0,0,0,18,13,138.4615385,0,4,1,15,21,10,15,0,0,2,7,0,1
NT Tilak Varma,smat2022_051,MI,AR,8,https://www.mumbaiindians.com/static-assets/images/players/large/70761.png?v=4.11&w=200,62,46,1,134.8,1,0,6,2,32.6,1,13,1,13,13,6,0,1,1,33.3,29,22,131.8181818,0,12,1,22,37,17,26,0,1,10,13,1,1
PP Chawla,smat2022_124,MI,AR,9,https://www.mumbaiindians.com/static-assets/images/players/large/3729.png?v=4.11&w=200,10,2,0,500,0,0,1,1,0,4,40,1,10,40,24,0,2,3,41.7,0,1,0,1,29,3,0,0,1,1,1,1,26,31,3,4
G Coetzee,sat20_2023_32,MI,AR,8.5,https://www.mumbaiindians.com/static-assets/images/players/large/67443.png?v=4.11&w=200,12,17,1,70.6,0,0,0,1,64.7,4,41,0,10.25,0,0,0,2,2,37.5,1,0,0,0,8,1,1,2,1,3,-1,1,2,14,1,1
Mohammad Nabi,t20blast2021_122,MI,AR,9.5,https://www.mumbaiindians.com/static-assets/images/players/large/7797.png?v=4.11&w=200,8,7,1,114.3,0,0,1,0,28.6,4,23,2,5.75,11.5,12,0,2,0,41.7,15,11,136.3636364,1,22,3,13,16,10,12,1,1,21,23,3,3
S Dhawan,smat2022_131,PBKS,Batsman,9.5,https://www.punjabkingsipl.in/static-assets/images/players/3722.png?v=5.91,37,27,1,137,0,0,7,0,44.4,0,0,0,0,0,0,0,0,0,0,33,24,137.5,0,0,0,27,38,20,27,0,0,0,0,0,0
JM Sharma,smat2022_135,PBKS,WK,8,https://www.punjabkingsipl.in/static-assets/images/players/64724.png?v=5.91,46,24,0,191.7,0,0,3,3,16.7,0,0,0,0,0,0,0,0,0,0,10,6,166.6666667,0,0,0,5,14,4,8,0,0,0,0,0,0
Prabhsimran Singh,smat2022_134,PBKS,WK,8,https://www.punjabkingsipl.in/static-assets/images/players/70222.png?v=5.91,8,10,1,80,0,0,1,0,60,0,0,0,0,0,0,0,0,0,0,17,13,130.7692308,0,0,0,7,27,8,19,0,0,0,0,0,0
Arshdeep Singh,smat2021_2_071,PBKS,Bowler,8,https://www.punjabkingsipl.in/static-assets/images/players/67905.png?v=5.91,0,0,0,0,0,0,0,0,0,4,26,0,6.5,0,0,0,4,0,58.3,0,1,0,1,24,2,0,1,1,1,0,1,21,27,2,3
K Rabada,sat20_2023_29,PBKS,Bowler,8,https://www.punjabkingsipl.in/static-assets/images/players/63611.png?v=5.91,0,3,0,0,0,0,0,0,100,3,27,0,9,0,0,0,5,0,38.9,1,1,100,1,31,3,0,3,1,2,1,1,29,33,3,4
