Player,Role,Team ID,Credit,Players_Link,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,fours_Scored,six_Scored,Bat_Dot%,Overs_Bowled,Runs_Given,Wickets_Taken,Econ,Bowl_Avg,Bowl_SR,5W,fours_Given,six_Given,Bowl_Dot%,next_SR,next_runs,next_balls,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
RA Jadeja,AR,CSK,9,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/46.png,ipl2024_07,7,3,1,233.3,0,0,1,0,0,2,15,0,7.5,0,0,0,1,0,16.7,216.6666667,13,6,1,20,3,11,15,4,7,0,1,18,22,2,3
R Ravindra,AR,CSK,7.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/724.png,ssnz2023_31,2,5,1,40,0,0,0,0,60,3,22,1,7.33,22,18,0,1,1,27.8,71.42857143,5,7,1,21,2,1,11,4,11,0,1,18,25,2,3
MM Ali,AR,CSK,7.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/206.png,t20blast2023_070,12,9,1,133.3,0,0,1,0,22.2,4,16,3,4,5.3,8,0,1,0,45.8,138.4615385,18,13,1,20,2,14,22,11,15,0,1,18,22,2,3
MJ Santner,AR,CSK,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/75.png,t20blast2023_130,13,10,1,130,0,0,1,1,60,3.3,23,1,6.57,23,21,0,3,0,47.6,133.3333333,16,12,1,22,3,12,21,9,14,1,1,20,24,3,3
MS Dhoni,WK,CSK,7.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/57.png,ipl2023_74,0,1,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,110.5263158,21,19,0,0,0,17,24,16,21,0,0,0,0,0,0
DP Conway,WK,CSK,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/601.png,t20blast2021_124,4,6,1,66.7,0,0,1,0,83.3,0,0,0,0,0,0,0,0,0,0,129.6296296,35,27,0,0,0,28,42,23,31,0,0,0,0,0,0
Sameer Rizvi,Batsman,CSK,5.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/1229.png,smat2023_130,42,29,0,144.8,0,0,1,4,34.5,0,0,0,0,0,0,0,0,0,0,157.1428571,11,7,0,0,0,1,20,1,19,0,0,0,0,0,0
Mukesh Choudhary,Bowler,CSK,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/970.png,smat2021_2_096,0,0,0,0,0,0,0,0,0,3,24,1,8,24,18,0,3,1,50,0,0,0,1,22,3,1,1,1,1,-1,0,16,29,2,3
Simarjeet Singh,Bowler,CSK,5.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/622.png,smat2021_076,0,0,0,0,0,0,0,0,0,2,22,2,11,11,6,0,3,1,50,0,0,1,1,14,2,1,1,1,2,0,2,6,21,2,3
DA Warner,Batsman,DC,9,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/214.png,ipl2024_02,29,21,1,138.1,0,0,3,2,52.4,0,0,0,0,0,0,0,0,0,0,137.9310345,40,29,0,0,0,34,46,25,32,0,0,0,0,0,0
PP Shaw,Batsman,DC,7.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/51.png,smat2022_136,11,8,1,137.5,0,0,2,0,50,0,0,0,0,0,0,0,0,0,0,142.1052632,27,19,0,0,0,22,33,16,22,0,0,0,0,0,0
RK Bhui,Batsman,DC,6.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/219.png,smat2023_088,40,13,0,307.7,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,100,2,2,0,0,0,1,29,1,14,0,0,0,0,0,0
YV Dhull,Batsman,DC,5.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/777.png,smat2023_133,7,9,1,77.8,0,0,1,0,55.6,0,0,0,0,0,0,0,0,0,0,133.3333333,20,15,0,0,0,3,36,4,27,0,0,0,0,0,0
Kuldeep Yadav,Bowler,DC,9,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/14.png,smat2022_113,0,0,0,0,0,0,0,0,0,3,24,0,8,0,0,0,4,0,38.9,75,3,4,1,26,3,2,4,2,5,0,1,24,29,3,4
Abishek Porel,WK,DC,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/1580.png,smat2023_128,23,16,1,143.8,0,0,2,1,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,7,0,0,0,0,0,0
RR Pant,WK,DC,8.5,https://staticg.sportskeeda.com/editor/2023/02/8d54a-16758655779091-1920.jpg?w=80,ipl2024_02,18,13,1,138.5,0,0,2,0,23.1,0,0,0,0,0,0,0,0,0,0,140,28,20,0,0,0,23,32,17,22,0,0,0,0,0,0
SD Hope,WK,DC,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/268.png,psl2024_28,5,7,1,71.4,0,0,0,0,42.9,0,0,0,0,0,0,0,0,0,0,123.5294118,21,17,0,0,0,16,26,14,20,0,0,0,0,0,0
T Stubbs,WK,DC,6.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/1017.png,t100m2022_34,18,18,1,100,0,0,1,0,38.9,0.5,5,0,6,0,0,0,0,0,20,164.2857143,23,14,1,7,0,18,27,12,17,0,0,4,10,0,1
A Nortje,Bowler,DC,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/142.png,sat20_2023_33,5,4,0,125,0,0,1,0,50,4,21,2,5.25,10.5,12,0,2,1,75,200,2,1,2,23,3,1,3,1,2,2,2,20,25,3,3
I Sharma,Bowler,DC,7.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/50.png,smat2023_090,0,0,0,0,0,0,0,0,0,2,13,1,6.5,13,12,0,3,0,66.7,100,1,1,1,19,3,0,1,1,1,1,1,16,23,2,3
Mukesh Kumar,Bowler,DC,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1462.png,smat2023_128,0,0,0,0,0,0,0,0,0,4,29,1,7.25,29,24,0,4,0,45.8,0,0,0,1,24,3,0,1,0,1,0,1,21,27,2,3
P Dubey,Bowler,DC,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/548.png,smat2021_2_105,33,25,1,132,0,0,3,1,36,1,4,0,4,0,0,0,0,0,33.3,0,0,1,1,2,0,0,0,1,12,-1,1,-12,16,0,0
KK Ahmed,Bowler,DC,6.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/8.png,smat2022_061,0,0,0,0,0,0,0,0,0,4,36,1,9,36,24,0,2,2,33.3,0,0,0,1,25,3,1,0,1,1,1,1,22,27,3,4
Rasikh Salam,Bowler,DC,5.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/172.png,smat2023_104,0,0,0,0,0,0,0,0,0,3,32,0,10.67,0,0,0,2,3,38.9,0,0,0,1,13,2,1,3,1,2,-1,1,1,26,1,3
JA Richardson,Bowler,DC,7,https://www.iplt20.com/assets/images/default-headshot.png,ipl2021_11,0,0,0,0,0,0,0,0,0,4,41,2,10.25,20.5,12,0,2,3,37.5,133.3333333,4,3,2,26,4,3,5,3,4,2,2,23,29,3,4
AR Patel,AR,DC,8.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/110.png,smat2023_096,0,0,0,0,0,0,0,0,0,2,14,0,7,0,0,0,2,0,33.3,125,10,8,1,27,3,7,13,6,10,1,1,25,29,3,4
Lalit Yadav,AR,DC,6.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/538.png,smat2023_133,15,12,1,125,0,0,2,0,25,3.4,32,0,8.73,0,0,0,0,2,13.6,125,15,12,1,14,2,10,20,8,15,0,1,10,18,1,2
MR Marsh,AR,DC,9,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/40.png,ipl2024_02,20,12,1,166.7,0,0,2,2,66.7,4,52,0,13,0,0,0,5,3,25,133.3333333,20,15,1,6,1,13,27,12,19,0,0,3,10,1,1
Sumit Kumar,AR,DC,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/1535.png,smat2023_076,5,4,0,125,0,0,0,0,0,4,18,4,4.5,4.5,6,0,1,0,66.7,166.6666667,10,6,1,5,1,4,16,2,9,-1,1,-5,14,1,1
J Fraser-McGurk,Batsman,DC,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/3115.png,ilt20_2024_08,41,17,1,241.2,0,0,3,4,41.2,0,0,0,0,0,0,0,0,0,0,227.2727273,25,11,0,0,0,17,32,7,15,0,0,0,0,0,0
Shubman Gill,Batsman,GT,9,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/62.png,smat2022_134,45,32,1,140.6,0,0,7,1,43.8,0,0,0,0,0,0,0,0,0,0,107.6923077,28,26,0,0,0,22,34,23,30,0,0,0,0,0,0
KS Williamson,Batsman,GT,8.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/65.png,t20blast2018_122,44,26,0,169.2,0,0,6,1,26.9,0,0,0,0,0,0,0,0,0,0,133.3333333,8,6,0,0,0,3,13,3,10,0,0,0,0,0,0
B Sai Sudharsan,Batsman,GT,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/976.png,tnpl2023_19,41,28,1,146.4,0,0,6,0,28.6,0,0,0,0,0,0,0,0,0,0,142.3076923,37,26,0,0,0,28,45,22,31,0,0,-1,1,1,0
DA Miller,Batsman,GT,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/128.png,t20blast2017_131,0,2,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,153.3333333,23,15,0,0,0,20,25,14,17,0,0,0,0,0,0
V Shankar,Batsman,GT,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/61.png,tnpl2023_27,28,22,1,127.3,0,0,1,1,18.2,0,0,0,0,0,0,0,0,0,0,142.8571429,20,14,1,4,0,16,25,11,17,0,0,1,7,0,1
A Manohar,Batsman,GT,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/974.png,smat2023_099,13,12,1,108.3,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,139.2857143,39,28,0,0,0,27,50,21,36,0,0,0,0,0,0
Rashid Khan,Bowler,GT,9,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/218.png,t20blast2022_123,25,12,0,208.3,0,0,1,2,25,4,24,2,6,12,12,0,1,1,33.3,133.3333333,4,3,1,25,4,2,5,3,4,1,1,24,26,4,4
MM Sharma,Bowler,GT,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/100.png,smat2023_032,0,0,0,0,0,0,0,0,0,3,24,0,8,0,0,0,3,1,44.4,0,0,0,1,30,3,1,1,1,1,0,1,27,34,3,3
JB Little,Bowler,GT,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/678.png,t100m2023_34,0,0,0,0,0,0,0,0,0,3.2,21,1,6.3,21,20,0,2,1,55,100,1,1,1,17,2,0,1,0,1,1,1,14,20,2,3
UT Yadav,Bowler,GT,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/21.png,smat2022_135,2,3,0,66.7,0,0,0,0,33.3,3,22,0,7.33,0,0,0,1,2,61.1,200,2,1,1,30,3,1,3,0,2,1,1,27,33,3,4
Noor Ahmad,Bowler,GT,6.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/975.png,t100m2022_01,9,4,0,225,0,0,0,1,25,2.3,31,0,12.4,0,0,0,2,1,13.3,100,1,1,1,21,3,1,0,0,2,1,1,19,23,3,3
SH Johnson,Bowler,GT,6.5,https://www.iplt20.com/assets/images/default-headshot.png,t100m2023_29,0,0,0,0,0,0,0,0,0,1.4,11,1,6.6,11,10,0,0,1,70,0,0,0,1,19,2,1,1,1,1,0,1,16,23,2,3
Kartik Tyagi,Bowler,GT,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/536.png,smat2023_130,0,0,0,0,0,0,0,0,0,1,15,0,15,0,0,0,1,1,66.7,0,0,1,1,31,1,1,1,1,1,-1,0,27,35,0,1
R Sai Kishore,Bowler,GT,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/544.png,tnpl2023_22,26,10,1,260,0,0,3,2,40,4,31,2,7.75,15.5,12,0,2,2,45.8,58.33333333,7,12,1,22,4,5,10,10,14,1,1,20,24,4,4
J Yadav,Bowler,GT,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/165.png,smat2023_076,0,0,0,0,0,0,0,0,0,1,9,0,9,0,0,0,2,0,50,0,0,0,1,24,5,1,3,1,3,0,1,21,27,4,5
S Sandeep Warrier,Bowler,GT,6,https://www.iplt20.com/assets/images/default-headshot.png,tnpl2023_32,0,0,0,0,0,0,0,0,0,4,39,2,9.75,19.5,12,0,5,0,41.7,0,0,0,1,26,4,1,0,1,0,1,1,22,29,3,4
DG Nalkande,Bowler,GT,5.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/127.png,smat2022_135,5,6,1,83.3,0,0,0,0,16.7,3,35,2,11.67,17.5,9,0,3,2,27.8,200,2,1,2,23,2,1,5,1,3,1,2,18,29,2,3
Azmatullah Omarzai,AR,GT,7.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/1354.png,scl2020_19,16,13,1,123.1,0,0,1,1,46.2,3.4,24,1,6.55,24,22,0,2,1,40.9,133.3333333,8,6,1,20,2,1,14,2,10,0,1,17,23,2,3
R Tewatia,AR,GT,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/120.png,smat2023_076,26,18,0,144.4,0,0,2,1,22.2,1,2,0,2,0,0,0,0,0,83.3,150,18,12,1,10,2,14,21,10,15,0,1,7,13,2,2
M Shahrukh Khan,AR,GT,6.5,https://www.iplt20.com/assets/images/default-headshot.png,tnpl2023_32,7,5,1,140,0,0,1,0,40,4,16,3,4,5.3,8,0,0,1,62.5,158.3333333,19,12,1,18,2,15,23,10,15,1,1,16,21,2,2
WP Saha,WK,GT,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/225.png,smat2023_046,4,7,1,57.1,0,0,1,0,85.7,0,0,0,0,0,0,0,0,0,0,94.73684211,18,19,0,0,0,12,24,15,22,0,0,0,0,0,0
MS Wade,WK,GT,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/549.png,t100m2023_32,0,4,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,114.2857143,24,21,0,0,0,18,29,18,24,0,0,0,0,0,0
BR Sharath,WK,GT,5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/3117.png,smat2023_099,26,18,1,144.4,0,0,2,1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0
RK Singh,Batsman,KKR,8.5,https://www.kkr.in/static-assets/images/players/64727.png?v=111.24,smat2023_130,77,33,0,233.3,1,0,4,6,15.2,0,0,0,0,0,0,0,0,0,0,218.75,35,16,0,0,0,28,42,12,20,0,0,0,0,0,0
SS Iyer,Batsman,KKR,8.5,https://www.kkr.in/static-assets/images/players/63961.png?v=111.24,smat2022_136,34,26,1,130.8,0,0,4,1,38.5,0,0,0,0,0,0,0,0,0,0,120,24,20,0,0,0,20,29,17,23,0,0,0,0,0,0
VR Iyer,Batsman,KKR,8,https://www.kkr.in/static-assets/images/players/65430.png?v=111.31,smat2023_108,29,22,0,131.8,0,0,2,1,22.7,1,12,0,12,0,0,0,1,1,66.7,142.1052632,27,19,1,9,1,21,33,15,23,0,0,6,12,1,1
N Rana,Batsman,KKR,8.5,https://www.kkr.in/static-assets/images/players/63649.png?v=111.31,smat2023_130,17,18,0,94.4,0,0,1,0,27.8,3,22,0,7.33,0,0,0,1,1,22.2,135.2941176,23,17,1,12,2,18,27,14,19,1,2,11,13,2,2
SE Rutherford,Batsman,KKR,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/122.png,psl2024_22,9,9,1,100,0,0,1,0,44.4,0,0,0,0,0,0,0,0,0,0,146.6666667,22,15,0,0,0,18,27,13,18,0,0,-1,2,1,0
MK Pandey,Batsman,KKR,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/16.png,smat2023_099,11,9,1,122.2,0,0,0,1,33.3,0,0,0,0,0,0,0,0,0,0,118.1818182,26,22,0,0,0,22,31,19,25,0,0,0,0,0,0
MA Starc,Bowler,KKR,9,https://www.kkr.in/static-assets/images/players/10053.png?v=111.31,ipl2024_03,6,3,0,200,0,0,1,0,0,4,53,0,13.25,0,0,0,3,4,41.7,200,2,1,0,0,0,1,3,1,1,0,1,-9,8,1,1
CV Varun,Bowler,KKR,8,https://www.kkr.in/static-assets/images/players/2020/67469.png?v=5.34&w=200,tnpl2023_31,0,0,0,0,0,0,0,0,0,4,26,1,6.5,26,24,0,1,1,33.3,100,1,1,1,29,4,0,2,1,2,1,1,27,31,3,4
PVD Chameera,Bowler,KKR,7.5,https://www.kkr.in/static-assets/images/players/58065.png?v=111.24,lpl2023_15,0,0,0,0,0,0,0,0,0,4,33,0,8.25,0,0,0,2,1,29.2,50,1,2,1,40,4,1,3,0,3,1,1,36,44,3,4
Suyash Sharma,Bowler,KKR,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/1932.png,lpl2021_17,2,12,1,16.7,0,0,0,0,83.3,0,0,0,0,0,0,0,0,0,0,66.66666667,2,3,0,0,0,1,6,1,6,0,0,0,0,0,0
Mujeeb Ur Rahman,Bowler,KKR,7,https://www.iplt20.com/assets/images/default-headshot.png,t20blast2021_123,0,0,0,0,0,0,0,0,0,4,18,2,4.5,9,12,0,2,0,50,100,1,1,1,25,4,1,2,0,1,1,1,23,26,4,4
VG Arora,Bowler,KKR,8,https://www.kkr.in/static-assets/images/players/74298.png?v=111.31,smat2022_136,2,2,0,100,0,0,0,0,0,4,27,3,6.75,9,8,0,0,2,75,0,0,0,2,19,4,1,0,1,1,1,2,16,23,3,4
C Sakariya,Bowler,KKR,8.5,https://www.kkr.in/static-assets/images/players/68173.png?v=111.31,smat2022_133,0,0,0,0,0,0,0,0,0,4,33,4,8.25,8.2,6,0,4,0,62.5,100,1,1,1,29,4,1,2,0,2,1,1,24,34,4,5
Harshit Rana,Bowler,KKR,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/1013.png,smat2023_090,0,0,0,0,0,0,0,0,0,1,9,0,9,0,0,0,0,1,33.3,0,0,0,1,11,2,1,0,1,1,0,1,4,18,1,2
AD Russell,AR,KKR,10.5,https://www.kkr.in/static-assets/images/players/12047.png?v=111.31,t20blast2016_131,39,18,1,216.7,0,0,4,3,33.3,4,20,3,5,6.7,8,0,1,0,41.7,150,12,8,1,30,3,10,14,7,9,1,1,28,31,3,4
SP Narine,AR,KKR,9.5,https://www.kkr.in/static-assets/images/players/11229.png?v=111.31,t20blast2023_127,2,2,0,100,0,0,0,0,0,4,31,1,7.75,31,24,0,2,2,41.7,140,7,5,1,23,4,5,8,4,6,1,1,22,24,4,4
Ramandeep Singh,AR,KKR,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/991.png,smat2023_130,22,13,0,169.2,0,0,1,1,15.4,0,0,0,0,0,0,0,0,0,0,150,9,6,1,7,1,1,16,2,9,0,1,3,11,0,1
Rahmanullah Gurbaz,WK,KKR,8,https://www.kkr.in/static-assets/images/players/68027.png?v=111.24,scl2020_19,4,3,1,133.3,0,0,1,0,66.7,0,0,0,0,0,0,0,0,0,0,160,24,15,0,0,0,19,28,13,17,0,0,0,0,0,0
PD Salt,WK,KKR,7.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/1220.png,t20blast2023_127,13,11,1,118.2,0,0,2,0,36.4,0,0,0,0,0,0,0,0,0,0,135.7142857,19,14,0,0,0,16,23,12,16,0,0,0,0,0,0
KS Bharat,WK,KKR,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/365.png,smat2023_088,1,2,1,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
AS Roy,AR,KKR,5.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/160.png,smat2021_2_087,16,7,0,228.6,0,0,1,1,14.3,4,24,0,6,0,0,0,1,1,41.7,100,1,1,1,4,1,1,9,1,5,0,2,-1,10,0,1
D Padikkal,Batsman,LSG,8,https://www.lucknowsupergiants.in/static-assets/images/players/67589.png?v=9.4,smat2023_099,1,2,1,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,120,30,25,0,0,0,24,37,21,29,0,0,0,0,0,0
KR Mayers,Batsman,LSG,7.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/726.png,t20blast2021_122,14,12,0,116.7,0,0,2,0,33.3,0,0,0,0,0,0,0,0,0,0,140,28,20,1,5,1,22,33,16,23,0,0,2,8,1,1
DJ Hooda,Batsman,LSG,7.5,https://www.lucknowsupergiants.in/static-assets/images/players/63748.png?v=9.4,smat2021_2_049,69,35,0,197.1,1,0,5,5,20,0,0,0,0,0,0,0,0,0,0,134.7826087,31,23,1,3,0,26,36,20,26,0,0,1,6,0,0
AJ Turner,Batsman,LSG,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/86.png,t20blast2023_119,6,11,1,54.5,0,0,0,0,45.5,4,20,3,5,6.7,8,0,2,0,45.8,141.6666667,17,12,1,5,0,13,20,10,14,0,1,4,6,0,0
A Badoni,Batsman,LSG,6.5,https://www.lucknowsupergiants.in/static-assets/images/players/69656.png?v=9.4,smat2023_133,80,57,0,140.4,1,0,7,4,35.1,1,9,0,9,0,0,0,0,1,33.3,137.5,22,16,0,0,0,14,29,11,21,0,0,-1,2,1,0
Ravi Bishnoi,Bowler,LSG,8,https://www.lucknowsupergiants.in/static-assets/images/players/71288.png?v=9.4,smat2023_127,0,0,0,0,0,0,0,0,0,4,29,2,7.25,14.5,12,0,3,0,37.5,0,0,1,1,30,4,1,1,0,1,1,1,28,32,4,4
Naveen-ul-Haq,Bowler,LSG,7.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/639.png,t20blast2023_076,0,0,0,0,0,0,0,0,0,2,15,0,7.5,0,0,0,2,0,25,100,2,2,1,23,3,1,3,1,3,1,1,21,25,3,3
S Joseph,Bowler,LSG,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/3105.png,smat2023_132,0,0,0,0,0,0,0,0,0,3,17,2,5.67,8.5,9,0,0,1,38.9,0,0,0,0,0,0,0,0,1,1,-1,1,-11,11,1,2
Shivam Mavi,Bowler,LSG,7,https://www.lucknowsupergiants.in/static-assets/images/players/66984.png?v=9.4,smat2022_113,0,0,0,0,0,0,0,0,0,2,18,0,9,0,0,0,2,1,58.3,0,0,0,1,24,3,1,2,1,2,1,1,20,27,2,3
A Mishra,Bowler,LSG,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/107.png,smat2023_032,0,0,0,0,0,0,0,0,0,3,27,2,9,13.5,9,0,5,0,38.9,50,1,2,1,21,2,0,3,1,4,0,0,18,23,2,2
Mohsin Khan,Bowler,LSG,6.5,https://www.lucknowsupergiants.in/static-assets/images/players/68182.png?v=9.4,smat2023_130,0,0,0,0,0,0,0,0,0,4,34,3,8.5,11.3,8,0,3,1,37.5,200,2,1,1,8,2,1,4,1,3,1,1,2,14,1,3
Yash Thakur,Bowler,LSG,6.5,https://www.lucknowsupergiants.in/static-assets/images/players/66819.png?v=9.4,smat2022_135,0,0,0,0,0,0,0,0,0,3,25,0,8.33,0,0,0,4,1,55.6,0,0,0,1,35,4,1,1,1,2,0,1,29,40,3,4
Arshad Khan,Bowler,LSG,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/988.png,smat2023_054,4,11,1,36.4,0,0,0,0,63.6,2,15,0,7.5,0,0,0,2,0,41.7,136.3636364,15,11,2,35,3,10,20,7,15,1,4,21,48,2,3
M Siddharth,Bowler,LSG,5.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/532.png,tnpl2023_32,0,0,0,0,0,0,0,0,0,2,13,1,6.5,13,12,0,1,1,58.3,100,2,2,1,12,3,1,3,1,3,1,1,9,14,3,4
MP Yadav,Bowler,LSG,5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/987.png,tnpl2023_29,1,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,0,0,0,0,0,0
KH Pandya,AR,LSG,8,https://www.lucknowsupergiants.in/static-assets/images/players/63788.png?v=9.4,smat2023_135,45,32,1,140.6,0,0,3,1,18.8,4,30,1,7.5,30,24,0,3,0,29.2,150,15,10,1,16,2,12,18,8,12,0,1,14,18,2,2
MP Stoinis,AR,LSG,8,https://www.lucknowsupergiants.in/static-assets/images/players/4311.png?v=9.4,t20blast2018_127,0,3,1,0,0,0,0,0,100,3,18,0,6,0,0,0,1,0,44.4,171.4285714,36,21,1,22,3,31,40,18,23,0,1,20,24,2,3
DJ Willey,AR,LSG,7,https://www.iplt20.com/assets/images/default-headshot.png,t20blast2023_121,10,11,1,90.9,0,0,1,0,36.4,3,23,1,7.67,23,18,0,1,1,55.6,110,11,10,1,27,3,7,15,7,12,1,1,25,28,3,3
K Gowtham Thamarai,AR,LSG,6.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/179.png,tnpl2023_32,0,0,0,0,0,0,0,0,0,3,38,1,12.67,38,18,0,3,3,38.9,0,0,0,1,11,1,1,1,1,1,-1,0,7,14,0,1
PN Mankad,AR,LSG,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/998.png,smat2022_133,61,25,1,244,1,0,7,3,12,0,0,0,0,0,0,0,0,0,0,200,12,6,1,3,0,1,27,1,14,-1,1,-7,12,1,1
